file,comp,C_succ_nodes,C_succ_edges,P_succ_nodes,P_succ_edges,Z_succ_nodes,Z_succ_edges,C_ind_nodes,C_ind_edges,P_ind_nodes,P_ind_edges,Z_ind_nodes,Z_ind_edges,C_bet_nodes,C_bet_edges,P_bet_nodes,P_bet_edges,Z_bet_nodes,Z_bet_edges
grafo2036.27.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1048.18.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11608.32.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5514.39.gml,0,1881,5620,1142,4881,1132,4871,8663,28020,5976,25333,5502,24859,1835,6168,1110,5443,1018,5351
grafo1418.50.gml,0,2868,8610,1794,7536,1578,7320,12810,41652,8820,37662,8214,37056,2808,9534,1692,8418,1536,8262
grafo7078.38.gml,0,3036,9126,1830,7920,1608,7698,12548,40626,8482,36560,7888,35966,2840,9726,1786,8672,1556,8442
grafo5633.45.gml,0,2906,8694,1768,7556,1660,7448,15264,49244,10620,44600,9802,43782,3452,10870,1802,9220,1642,9060
grafo1478.56.gml,0,5500,16776,3344,14620,2948,14224,27072,87624,18790,79342,17344,77896,6186,20432,3364,17610,2976,17222
grafo5630.43.gml,0,7301,22842,4333,19874,3868,19409,36113,117208,24851,105946,23100,104195,8063,27630,4463,24030,3902,23469
grafo7706.40.gml,0,7229,22735,4291,19797,3851,19357,32246,105056,21962,94772,20360,93170,7625,26240,4250,22865,3780,22395
grafo2962.33.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4258.58.gml,0,30074,101552,16222,87700,14346,85824,109718,364072,73404,327758,67134,321488,31980,113984,16394,98398,14126,96130
grafo8547.85.gml,0,46043,157654,24334,135945,20675,132286,162178,538925,107590,484337,98404,475151,49267,176993,24641,152367,20917,148643
grafo2442.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9066.71.gml,0,66738,233468,34381,201111,27950,194680,191883,648289,123225,579631,112593,568999,67060,248027,33616,214583,27961,208928
grafo2146.17.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo1360.25.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8649.86.gml,0,62310,214673,32919,185282,28055,180418,245560,813009,164855,732304,151087,718536,70894,253869,34075,217050,29155,212130
grafo4556.52.gml,0,19848,64070,11344,55566,10078,54300,100660,328058,69554,296952,64232,291630,24186,82334,11970,70118,10416,68564
grafo3757.39.gml,0,62128,207142,33560,178574,28920,173934,313637,1022289,217312,925964,200870,909522,72535,259261,34553,221279,29557,216283
grafo4773.57.gml,0,71656,241090,38128,207562,32748,202182,338016,1104916,231834,998734,214218,981118,83920,297415,39138,252633,33366,246861
grafo9677.68.gml,0,87344,304428,45372,262456,38602,255686,325962,1082882,216902,973822,198702,955622,97402,353388,46818,302804,39092,295078
grafo5937.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2603.22.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4890.80.gml,0,104832,365460,53670,314298,44432,305060,358198,1195634,234709,1072145,214579,1052015,113787,415595,54750,356558,45577,347385
grafo8091.70.gml,0,18921,62751,10439,54269,8864,52694,67962,225148,45533,202719,41784,198970,19229,68720,10095,59586,8896,58387
grafo8669.91.gml,0,107128,376321,54684,323877,44972,314165,373680,1246999,246025,1119344,225263,1098582,116901,429606,56378,369083,46277,358982
grafo6036.44.gml,0,26695,87698,14773,75776,12692,73695,122401,400510,83564,361673,77221,355330,31164,107993,15125,91954,13091,89920
grafo11495.39.gml,0,12624,41737,7282,36395,6235,35348,47418,156435,31687,140704,29334,138351,13174,46036,7213,40075,5981,38843
grafo2983.25.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5766.46.gml,0,97504,333066,51770,287332,43634,279196,430850,1418090,291762,1279002,268950,1256190,115834,414845,54563,353574,46224,345235
grafo5533.47.gml,0,16790,54533,9456,47199,8475,46218,74683,244290,50734,220341,47013,216620,19042,65364,9820,56142,8643,54965
grafo11091.97.gml,0,118490,414352,61676,357538,51488,347350,461193,1531149,307442,1377398,282380,1352336,135757,492898,64692,421833,53626,410767
grafo11090.93.gml,0,32756,112172,17692,97108,14904,94320,108110,361426,71052,324368,65338,318654,34366,122664,17238,105536,14888,103186
grafo2221.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9265.62.gml,0,33654,111452,18471,96269,16074,93872,144854,476118,98735,429999,90768,422032,38306,134544,19079,115317,16552,112790
grafo9086.67.gml,0,137399,484285,70103,416989,58509,405395,483947,1615399,319053,1450505,291335,1422787,152795,558767,72605,478577,60705,466677
grafo214.22.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo8742.88.gml,0,108092,381174,54886,327968,46016,319098,351534,1180648,229137,1058251,209299,1038413,117899,428947,56164,367212,46743,357791
grafo5266.81.gml,0,24789,82008,13797,71016,11834,69053,102520,337147,69128,303755,63682,298309,27093,95813,14003,82723,11993,80713
grafo8445.83.gml,0,54464,188076,28760,162372,24706,158318,195098,649020,128876,582798,117958,571880,59743,214428,29794,184479,25064,179749
grafo8968.90.gml,0,54898,190076,28458,163636,24334,159512,176206,590748,114976,529518,105314,519856,57296,208088,28840,179632,24488,175280
grafo1756.16.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo7363.39.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4016.54.gml,0,7319,22860,4351,19892,3886,19427,36131,117226,24851,105946,23100,104195,8081,27648,4463,24030,3920,23487
grafo4918.55.gml,0,2914,8844,1826,7756,1634,7564,13807,44827,9548,40568,8875,39895,3137,10280,1731,8874,1593,8736
grafo8266.81.gml,0,187529,664703,93934,571108,78647,555821,637354,2135080,416336,1914062,379968,1877694,211706,770015,97127,655436,80685,638994
grafo8337.73.gml,0,43464,148064,22682,127282,19264,123864,150692,500256,99714,449278,90918,440482,46426,165868,23032,142474,19516,138958
grafo5573.34.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6110.62.gml,0,42564,144328,22708,124472,19362,121126,172004,567424,115631,511051,106530,501950,48553,171161,23617,146225,20053,142661
grafo9986.91.gml,0,150594,536264,74596,460266,61768,447438,453627,1533615,292855,1372843,264884,1344872,162791,594452,75824,507485,62723,494384
grafo8328.67.gml,0,116044,401164,60662,345782,51230,336350,483262,1597938,325664,1440340,299504,1414180,135869,489847,64087,418065,53619,407597
grafo9803.86.gml,0,65704,227360,34362,196018,29266,190922,241550,803422,160946,722818,147126,708998,73070,262668,35520,225118,30190,219788
grafo3930.37.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo269.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3026.26.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3096.36.gml,0,22122,71410,12598,61886,11012,60300,121142,393214,84420,356492,77908,349980,26926,93590,13268,79932,11686,78350
grafo10340.33.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo246.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2546.19.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo408.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2624.22.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11614.34.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo5325.44.gml,0,41040,137562,22182,118704,18916,115438,179509,590053,121586,532130,112758,523302,47642,167931,22907,143196,19778,140067
grafo10631.98.gml,0,202552,725960,100556,623964,83536,606944,637935,2150197,413622,1925884,375091,1887353,224265,821102,104093,700930,85969,682806
grafo6740.50.gml,0,25776,85158,14121,73503,11978,71360,101859,335845,68534,302520,63018,297004,27548,97919,14379,84750,12171,82542
grafo8174.75.gml,0,107539,371702,55852,320015,46666,310829,418635,1388548,279959,1249872,256818,1226731,125456,446689,58132,379365,49333,370566
grafo596.14.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9482.79.gml,0,97835,345250,49712,297127,41922,289337,329791,1104156,216055,990420,197431,971796,107354,391327,51292,335265,43039,327012
grafo5100.67.gml,0,51348,175720,27336,151708,23446,147818,187134,622520,124904,560290,114294,549680,56995,201844,27886,172735,23824,168673
grafo2829.17.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo603.26.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo222.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10833.98.gml,0,191998,686708,95212,589922,79486,574196,610149,2053811,395598,1839260,359357,1803019,210517,775852,98593,663928,81922,647257
grafo9550.85.gml,0,300629,1077246,148995,925612,123646,900263,1096302,3661097,723228,3288023,661423,3226218,343691,1273604,156818,1086731,129043,1058956
grafo11013.35.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo4881.66.gml,0,28884,95540,15916,82572,14092,80748,128606,422098,87556,381048,80866,374358,33538,116716,16806,99984,14408,97586
grafo8651.92.gml,0,206056,737522,102346,633812,85116,616582,679097,2281573,443624,2046100,403193,2005669,227649,841262,105953,719566,88045,701658
grafo2573.35.gml,0,1891,5630,1132,4871,1132,4871,8673,28030,5976,25333,5512,24869,1845,6178,1100,5433,1028,5361
grafo8152.79.gml,0,74681,258796,38759,222874,32284,216399,243265,815340,159290,731365,146062,718137,78219,286273,38981,247035,32755,240809
grafo4263.63.gml,0,15606,51602,8568,44564,7642,43638,57117,189015,38570,170468,35044,166942,16127,56780,8551,49204,7631,48284
grafo1409.49.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo176.30.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2337.27.gml,0,9382,29698,5406,25722,4780,25096,41934,136570,28736,123372,26490,121126,10296,34974,5464,30142,4794,29472
grafo3600.43.gml,0,23136,75129,13224,65217,11405,63398,111700,364771,76838,329909,70903,323974,27942,95009,13724,80791,11957,79024
grafo3626.49.gml,0,12433,40279,7156,35002,5955,33801,47869,157671,32287,142089,29954,139756,12667,44630,6937,38900,5921,37884
grafo9681.67.gml,0,53292,179838,28610,155156,24318,150864,231166,759396,157312,685542,144586,672816,60664,216788,29552,185676,25260,181384
grafo6717.38.gml,0,2800,8400,1772,7372,1604,7204,14243,46045,9892,41694,9165,40967,3051,10052,1763,8764,1573,8574
grafo1968.25.gml,0,1116,3208,740,2832,640,2732,5576,17996,3884,16304,3568,15988,1100,3608,708,3216,612,3120
grafo300.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3435.99.gml,0,249140,896460,121918,769238,101960,749280,785040,2648580,509045,2372585,461935,2325475,275405,1016613,125870,867078,105113,846321
grafo1631.16.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo9379.61.gml,0,17286,55919,9768,48401,8545,47178,79438,259645,54338,234545,50165,230372,19834,68139,10184,58489,8771,57076
grafo325.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo6533.83.gml,0,158472,565910,78464,485902,65162,472600,485558,1637152,313599,1465193,284939,1436533,173261,632383,80382,539504,66571,525693
grafo8199.61.gml,0,86342,300316,44638,258612,38150,252124,319090,1060476,212060,953446,193702,935088,96118,349086,46192,299160,39238,292206
grafo4239.61.gml,0,14228,45922,8212,39906,7302,38996,67842,221432,46618,200208,43084,196674,16698,56698,8468,48468,7436,47436
grafo4049.37.gml,0,16956,54971,9596,47611,8483,46498,76834,251111,52236,226513,48417,222694,19754,66927,10016,57189,8671,55844
grafo8493.75.gml,0,42392,143478,22492,123578,19190,120276,168390,555620,112731,499961,103932,491162,48499,169575,23251,144327,19657,140733
grafo1367.25.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3424.46.gml,0,10202,33100,5752,28650,4894,27792,37138,122032,24880,109774,22734,107628,9930,35336,5448,30854,4794,30200
grafo849.11.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo11245.92.gml,0,49998,172598,26311,148911,22369,144969,161077,538145,104955,482023,95710,472778,52372,189119,25866,162613,21861,158608
grafo3922.39.gml,0,5826,17872,3504,15550,3104,15150,30024,97136,20939,88051,19344,86456,6751,22270,3542,19061,3148,18667
grafo8418.61.gml,0,33064,111542,18156,96634,15502,93980,146912,481886,100644,435618,92616,427590,37046,132252,18416,113622,15958,111164
grafo3374.38.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo3493.46.gml,0,9664,30562,5590,26488,4892,25790,43940,143150,30340,129550,27934,127144,10390,35960,5636,31206,4942,30512
grafo4061.39.gml,0,5466,17128,3240,14902,2830,14492,25180,81952,17363,74135,16104,72876,5865,19908,3226,17269,2840,16883
grafo6032.42.gml,0,4168,13139,2483,11454,2192,11163,18561,60604,12781,54824,11793,53836,4526,15022,2544,13040,2229,12725
grafo4103.52.gml,0,15210,49972,8466,43228,7610,42372,59814,196772,40258,177216,37000,173958,16412,56764,8556,48908,7372,47724
grafo2363.34.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo2512.12.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo813.13.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
grafo10790.98.gml,0,104426,364808,54158,314540,45086,305468,385502,1282890,256297,1153685,234657,1132045,116627,424324,55853,363550,46477,354174
grafo1387.56.gml,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
